Model,R_V4_encoding_synthetic,R_IT_encoding_synthetic,R_V1_encoding_synthetic,R_V2_encoding_synthetic,R_V4_encoding_illusion,R_IT_encoding_illusion,R_V1_encoding_illusion,R_V2_encoding_illusion,%R2_V4_rsa_synthetic,%R2_IT_rsa_synthetic,%R2_V1_rsa_synthetic,%R2_V2_rsa_synthetic,%R2_V4_rsa_illusion,%R2_IT_rsa_illusion,%R2_V1_rsa_illusion,%R2_V2_rsa_illusion
inception_v3,1.1668903963665116,0.6484798731143719,0.1949786337699706,0.7072544757545813,0.5680390971339762,0.09574539068195875,0.01788272961117343,-0.03236009762551362,6.746796009252861,1.711303024864229,15.132764310006408,14.482181434363696,-3.712935305978469,-1.2319790180520727,2.0068471307506073,5.174118664638925
mixer_b16_224,1.113435605420193,0.2631052123231292,0.42163171736386573,0.17989482674065016,-0.5642138048488832,0.29943857683734976,-1.0284168252781356,-1.324215629686293,0.20570340132037757,2.1265441828784617,4.357190096437172,3.4894158791685967,-3.2461759432203507,-8.191574344171684,-13.68604595913932,-4.5920630306947245
mnasnet05,0.24812234016935264,-0.2794487300788262,0.5927565095164482,0.5944480855460057,-1.2609261585843043,-0.6728998754244238,-0.8813865591934231,-1.044786288141779,-1.1480211489929104,-3.514517093333289,-3.0317870569031413,-3.588033825964665,1.9815121813628807,1.7537688831538105,-5.071832893099938,-1.9064542075092206
mnasnet10,0.5209056518515851,-0.008926690734949005,0.18295147745984508,0.3317998313117059,0.27354359597935485,0.30024663019649367,-0.1557762482403504,-0.6107364031252587,-3.91913455072973,-4.0303611082904,-2.8209189871778975,-5.861261543726542,6.3555312636057835,7.233771454240653,4.232051235995222,0.8655089041246242
mobilenet_v2,0.5458334188990435,0.23480151907371294,0.3310587240908518,0.5043884055875694,-0.6159442084727047,-0.1655603529854517,-0.2314442503218217,-0.5903003688694923,-1.4232831765567155,-0.00036284967542599134,-0.9808738628787239,-0.5762970217097276,2.2678229282200135,4.086615761230405,1.0801513855458396,0.5901723489663553
mobilenet_v3_large,0.7476457899277875,0.25807477858723615,0.29953284242664324,0.8784730709170532,0.3532568778608436,0.30686830294109413,-0.9357546265729937,-0.9091633233822805,-0.014566244472923984,1.0804655672164998,7.9445935237817835,3.591143188783569,2.966781631084771,-6.532286320698404,-7.893811894628776,-0.22422889414925606
mobilenet_v3_small,0.010382843641068007,-0.17020853043693762,0.12988409336999496,-0.33514913716170014,-0.9164033811983145,0.43416676928105247,-0.747801639427891,-1.2781058799160263,-0.8018486419940132,-2.4697976820119933,0.6391580188707806,-4.53278281457559,-11.272836501578901,-7.116840937909821,-1.2910767969239814,-12.249716228611717
nfnet_l0,-0.2715825720875813,0.08881481800668922,-0.9709286196038818,-0.9003788775326598,0.05711042605468464,-0.1551654454479774,0.1760145223006333,-0.05686951196458523,2.859145947723384,4.867171724239519,-10.759125136620163,-8.084887034680726,7.553507174006228,2.899647673338606,0.7399917850269446,6.4293500738149945
regnety_032,0.6014113654226421,0.7785488746201779,0.4520594452553297,0.26045515697509813,1.0337174614843647,0.6817008271954919,0.02014519788760083,0.3911253283267584,3.5917686568847884,-1.223829296528237,-1.174069538836143,-2.5280040613848627,8.084406582406388,-1.082009016736734,3.4068235767905932,7.094168704583296
regnety_080,0.6702212574973601,0.6321710908956355,0.8613947370505031,1.012333654747927,0.11601118292488621,-0.18195224045245695,0.20427920296695845,0.37567584120143493,-12.250010596034414,-0.802931851074824,-5.957196608093959,-6.974123521626957,15.636694747205354,10.986165482539832,3.566388417433771,4.620404788441817
ResNet101,1.2608130355592024,0.8127185892025146,0.5714724448555373,0.7173602348604575,0.8558037859738832,0.3471939882722559,0.38995459479170336,0.6095665342625338,8.740521888101256,4.189332812603283,17.431483295823817,14.642114255869792,10.731812981690709,3.5603317104574757,1.604345836017302,9.740173147268521
ResNet152,1.4734541334777873,1.1745057856467156,0.6371399521712675,0.7862847412638772,1.2634951689381637,0.8403443574093288,0.5205485482976826,0.9901154817021762,5.894152721989343,2.9606323887361867,6.248110279596197,7.141658077351472,5.697355268445989,11.65093775819821,4.343876562533524,1.079760353022337
ResNet18,-0.163458586266934,-0.5759088057876767,-0.14065328629453688,-0.15133980447112805,-0.6224826102967498,-0.5359036555071732,-0.5246557145995752,-0.6400071911108185,-5.349980119734056,-0.6860759738631046,-7.34165919347673,-1.4779328927059083,1.286607864299917,5.9902630057922295,-2.2173793278622185,-0.3689239290749171
ResNet34,0.6398479460815025,0.4722352629387814,0.063673218414948,0.3784944492398523,-0.18691655924944683,-0.24884793445832187,-0.15185966665965367,-0.041619711533719794,-6.348596032306233,-1.2052126466177882,-4.786909635945904,-6.075913920308796,-7.38107309915376,1.9554465297783565,2.956674991961812,-5.1218836978671405
